estado,mover_adelante,mover_atras,girar_izquierda,girar_derecha,esperar
"(13, 7, True)",0,0,0,0,0
"(13, 7, False)",0,0,0,0,0
"(13, 8, True)",0,0,0,0,0
"(13, 8, False)",0,0,0,0,0
"(13, 9, True)",0,0,0,0,0
"(13, 9, False)",0,0,0,0,0
"(13, 10, True)",0,0,0,0,0
"(13, 10, False)",0,0,0,0,0
"(13, 11, True)",0,0,0,0,0
"(13, 11, False)",0,0,0,0,0
"(13, 12, True)",0,0,0,0,0
"(13, 12, False)",0,0,0,0,0
"(13, 13, True)",0,0,0,0,0
"(13, 13, False)",0,0,0,0,0
"(13, 14, True)",0,0,0,0,0
"(13, 14, False)",0,0,0,0,0
"(14, 0, True)",0.0,0.0,0.0,0.0,0.0
"(14, 0, False)",0.0,0.0,0.0,0.0,0.0
"(14, 1, True)",0,0,0,0,0
"(14, 1, False)",-0.14,0,0,-0.14,0
"(14, 2, True)",0,0,0,0,0
"(14, 2, False)",0.13999999999999999,0,-0.14,-0.14,-0.18200000000000002
"(14, 3, True)",0,0,0,0,0
"(14, 3, False)",0.13999999999999999,0,-0.18200000000000002,0,0
"(14, 4, True)",0,0,0,0,0
"(14, 4, False)",0,0.13999999999999999,-0.19838000000000003,0,0
"(14, 5, True)",0,0,0,0,0
"(14, 5, False)",0,0.13999999999999999,-0.14,-0.14,0
"(14, 6, True)",0,0,0,0,0
"(14, 6, False)",-0.14,0.13999999999999999,-0.14,0,-0.19460000000000002
"(14, 7, True)",0,0,0,0,0
"(14, 7, False)",0,0.13999999999999999,0,0,0
"(14, 8, True)",0,0,0,0,0
"(14, 8, False)",0,0,0,0,0
"(14, 9, True)",0,0,0,0,0
"(14, 9, False)",0,0,0,0,0
"(14, 10, True)",0,0,0,0,0
"(14, 10, False)",0,0,0,0,0
"(14, 11, True)",0,0,0,0,0
"(14, 11, False)",0,0,0,0,0
"(14, 12, True)",0,0,0,0,0
"(14, 12, False)",0,0,0,0,0
"(14, 13, True)",0,0,0,0,0
"(14, 13, False)",0,0,0,0,0
"(14, 14, True)",0,0,0,0,0
"(14, 14, False)",0,0,0,0,0
"(15, 0, True)",0.0,0.0,0.0,0.0,0.0
"(15, 0, False)",0.0,0.0,0.0,0.0,0.0
"(15, 1, True)",0,0,0,0,0
"(15, 1, False)",-0.14,0,0,-0.14,0
"(15, 2, True)",0,0,0,0,0
"(15, 2, False)",-0.18200000000000002,0,-0.14,0,0
"(15, 3, True)",0,0,0,0,0
"(15, 3, False)",0,0.13999999999999999,0,0,0
"(15, 4, True)",0,0,0,0,0
"(15, 4, False)",0,0,0,0,0
"(15, 5, True)",0,0,0,0,0
"(15, 5, False)",0,0,0,0,0
"(15, 6, True)",0,0,0,0,0
"(15, 6, False)",0.13999999999999999,0,0,0,0
"(15, 7, True)",0,0,0,0,0
"(15, 7, False)",0,0,0,0,0
"(15, 8, True)",0,0,0,0,0
"(15, 8, False)",0,0,0,0,0
"(15, 9, True)",0,0,0,0,0
"(15, 9, False)",0,0,0,0,0
"(15, 10, True)",0,0,0,0,0
"(15, 10, False)",0,0,0,0,0
"(15, 11, True)",0,0,0,0,0
"(15, 11, False)",0,0,0,0,0
"(15, 12, True)",0,0,0,0,0
"(15, 12, False)",0,0,0,0,0
"(15, 13, True)",0,0,0,0,0
"(15, 13, False)",0,0,0,0,0
"(15, 14, True)",0,0,0,0,0
"(15, 14, False)",0,0,0,0,0
"(16, 0, True)",0.0,0.0,0.0,0.0,0.0
"(16, 0, False)",0.0,0.0,0.0,0.0,0.0
"(16, 1, True)",0,0,0,0,0
"(16, 1, False)",0,0,0,0,0
"(16, 2, True)",0,0,0,0,0
"(16, 2, False)",0,-0.14,-0.14,0,0
"(16, 3, True)",0,0,0,0,0
"(16, 3, False)",0,-0.14,0,0,-0.14
"(16, 4, True)",0,0,0,0,0
"(16, 4, False)",0,0,0,0,0
"(16, 5, True)",0,0,0,0,0
"(16, 5, False)",0,0,0,0,0
"(16, 6, True)",0,0,0,0,0
"(16, 6, False)",0.13999999999999999,0,0,0,-0.14
"(16, 7, True)",0,0,0,0,0
"(16, 7, False)",0,0,0,0,0
"(16, 8, True)",0,0,0,0,0
"(16, 8, False)",0,0,0,0,0
"(16, 9, True)",0,0,0,0,0
"(16, 9, False)",0,0,0,0,0
"(16, 10, True)",0,0,0,0,0
"(16, 10, False)",0,0,0,0,0
"(16, 11, True)",0,0,0,0,0
"(16, 11, False)",0,0,0,0,0
"(16, 12, True)",0,0,0,0,0
"(16, 12, False)",0,0,0,0,0
"(16, 13, True)",0,0,0,0,0
"(16, 13, False)",0,0,0,0,0
"(16, 14, True)",0,0,0,0,0
"(16, 14, False)",0,0,0,0,0
"(17, 0, True)",0.0,0.0,0.0,0.0,0.0
"(17, 0, False)",0.0,0.0,0.0,0.0,0.0
"(17, 1, True)",0,0,0,0,0
"(17, 1, False)",0,0,0,0,0
"(17, 2, True)",0,0,0,0,0
"(17, 2, False)",0,0,0,0,0
"(17, 3, True)",0,0,0,0,0
"(17, 3, False)",0,0,0,0,0
"(17, 4, True)",0,0,0,0,0
"(17, 4, False)",0,0,0,0,0
"(17, 5, True)",0,0,0,0,0
"(17, 5, False)",0,0,0,0,0
"(17, 6, True)",0,0,0,0,0
"(17, 6, False)",0.13999999999999999,0,0,0,0
"(17, 7, True)",0,0,0,0,0
"(17, 7, False)",0,0,0,0,0
"(17, 8, True)",0,0,0,0,0
"(17, 8, False)",0,0,0,0,0
"(17, 9, True)",0,0,0,0,0
"(17, 9, False)",0,0,0,0,0
"(17, 10, True)",0,0,0,0,0
"(17, 10, False)",0,0,0,0,0
"(17, 11, True)",0,0,0,0,0
"(17, 11, False)",0,0,0,0,0
"(17, 12, True)",0,0,0,0,0
"(17, 12, False)",0,0,0,0,0
"(17, 13, True)",0,0,0,0,0
"(17, 13, False)",0,0,0,0,0
"(17, 14, True)",0,0,0,0,0
"(17, 14, False)",0,0,0,0,0
"(18, 0, True)",0.0,0.0,0.0,0.0,0.0
"(18, 0, False)",0.0,0.0,0.0,0.0,0.0
"(18, 1, True)",0,0,0,0,0
"(18, 1, False)",0,0,0,0,0
"(18, 2, True)",0,0,0,0,0
"(18, 2, False)",0,0,0,0,0
"(18, 3, True)",0,0,0,0,0
"(18, 3, False)",0,0,0,0,0
"(18, 4, True)",0,0,0,0,0
"(18, 4, False)",0,0,0,0,0
"(18, 5, True)",0,0,0,0,0
"(18, 5, False)",0,0,0,0,0
"(18, 6, True)",0,0,0,0,0
"(18, 6, False)",0.13999999999999999,-0.01897000000000003,0,0,0
"(18, 7, True)",0,0,0,0,0
"(18, 7, False)",0,0,0,0,0
"(18, 8, True)",0,0,0,0,0
"(18, 8, False)",0,0,0,0,0
"(18, 9, True)",0,0,0,0,0
"(18, 9, False)",0,0,0,0,0
"(18, 10, True)",0,0,0,0,0
"(18, 10, False)",0,0,0,0,0
"(18, 11, True)",0,0,0,0,0
"(18, 11, False)",0,0,0,0,0
"(18, 12, True)",0,0,0,0,0
"(18, 12, False)",0,0,0,0,0
"(18, 13, True)",0,0,0,0,0
"(18, 13, False)",0,0,0,0,0
"(18, 14, True)",0,0,0,0,0
"(18, 14, False)",0,0,0,0,0
"(19, 0, True)",0.0,0.0,0.0,0.0,0.0
"(19, 0, False)",0.23309999999999995,-0.14,0.0,0.0,-0.14
"(19, 1, True)",0,0,0,0,0
"(19, 1, False)",0,0,0,0,0
"(19, 2, True)",0,0,0,0,0
"(19, 2, False)",0,0,0,0,0
"(19, 3, True)",0,0,0,0,0
"(19, 3, False)",0,0,0,0,0
"(19, 4, True)",0,0,0,0,0
"(19, 4, False)",0,0,0,0,0
"(19, 5, True)",0,0,0,0,0
"(19, 5, False)",-0.04690000000000004,-0.14,-0.14,-0.18200000000000002,-0.14
"(19, 6, True)",0,0,0,0,0
"(19, 6, False)",0.17483448499999998,-0.08890000000000005,-0.19838000000000003,-0.04942000000000005,-0.07848400000000004
"(19, 7, True)",0,0,0,0,0
"(19, 7, False)",-0.07357000000000005,0.30303,-0.10150000000000005,-0.06519100000000005,-0.06731006800000006
"(19, 8, True)",0,0,0,0,0
"(19, 8, False)",-0.04690000000000004,0.13999999999999999,-0.10641400000000005,0,-0.07357000000000005
"(19, 9, True)",0,0,0,0,0
"(19, 9, False)",0,0,0,0,0
"(19, 10, True)",0,0,0,0,0
"(19, 10, False)",0,0,0,0,0
"(19, 11, True)",0,0,0,0,0
"(19, 11, False)",0,0,0,0,0
"(19, 12, True)",0,0,0,0,0
"(19, 12, False)",0,0,0,0,0
"(19, 13, True)",0,0,0,0,0
"(19, 13, False)",0,0,0,0,0
"(19, 14, True)",0,0,0,0,0
"(19, 14, False)",0,0,0,0,0
"(20, 0, True)",0.0,0.0,0.0,0.0,0.0
"(20, 0, False)",0.0,0.0,0.0,0.0,0.0
"(20, 1, True)",0,0,0,0,0
"(20, 1, False)",0,0,0,0,0
"(20, 2, True)",0,0,0,0,0
"(20, 2, False)",0,0,0,0,0
"(20, 3, True)",0,0,0,0,0
"(20, 3, False)",0,0,0,0,0
"(20, 4, True)",0,0,0,0,0
"(20, 4, False)",0,0,0,0,0
"(20, 5, True)",0,0,0,0,0
"(20, 5, False)",0,0.182,0,0,0
"(20, 6, True)",0,0,0,0,0
"(20, 6, False)",0.17521644174999995,0.13999999999999999,0,-0.14,-0.14
"(20, 7, True)",0,0,0,0,0
"(20, 7, False)",0,0.27509999999999996,0,0,0
"(20, 8, True)",0,0,0,0,0
"(20, 8, False)",-0.14,0.13999999999999999,0,0,-0.14
"(20, 9, True)",0,0,0,0,0
"(20, 9, False)",-0.098,0,0,-0.07010500000000006,-0.07735000000000006
"(20, 10, True)",0,0,0,0,0
"(20, 10, False)",0,-0.04690000000000004,-0.18200000000000002,-0.18200000000000002,0
"(20, 11, True)",0,0,0,0,0
"(20, 11, False)",0,0,0,0,0
"(20, 12, True)",0,0,0,0,0
"(20, 12, False)",0,0,0,0,0
"(20, 13, True)",0,0,0,0,0
"(20, 13, False)",0,0,0,0,0
"(20, 14, True)",0,0,0,0,0
"(20, 14, False)",0,0,0,0,0
"(21, 0, True)",0.0,0.0,0.0,0.0,0.0
"(21, 0, False)",0.0,0.0,0.0,0.0,0.0
"(21, 1, True)",0,0,0,0,0
"(21, 1, False)",0,0,0,0,0
"(21, 2, True)",0,0,0,0,0
"(21, 2, False)",0,-0.03304000000000004,0,0,0
"(21, 3, True)",0,0,0,0,0
"(21, 3, False)",0.182,-0.14,-0.14,0,-0.06097000000000005
"(21, 4, True)",0,0,0,0,0
"(21, 4, False)",0,-0.14,0,0,-0.14
"(21, 5, True)",0,0,0,0,0
"(21, 5, False)",0.08411264749999987,0.23309999999999995,0.019514949999999916,-0.14,0
"(21, 6, True)",0,0,0,0,0
"(21, 6, False)",0.33420344999999996,0,0.10934644174999984,0.11691658002499984,0.08411264749999987
"(21, 7, True)",0,0,0,0,0
"(21, 7, False)",0.23309999999999995,0,-0.14,-0.14,0
